0000001,Grand Mengo Casino,2015-08-15 15:00,US,1.401
0000001,Grand Mengo Casino,2015-12-20 01:00,MX,1.319
0000001,Grand Mengo Casino,2016-02-14 01:00,MX,1.737
0000001,Grand Mengo Casino,2016-03-06 09:00,CA,0.94
0000001,Grand Mengo Casino,2016-05-22 16:00,US,1.805
0000001,Grand Mengo Casino,2016-05-23 09:00,MX,1.524
0000001,Grand Mengo Casino,2016-05-28 06:00,US,1.508
0000001,Grand Mengo Casino,2016-06-07 19:00,US,1.857
0000002,Novelo Granja,2015-09-01 08:00,CA,1.172
0000002,Novelo Granja,2015-09-10 18:00,US,1.637
0000002,Novelo Granja,2015-11-23 14:00,US,1.731
0000002,Novelo Granja,2015-12-18 12:00,MX,1.794
0000002,Novelo Granja,2016-01-29 00:00,CA,1.719
0000002,Novelo Granja,2016-05-19 10:00,CA,1.969
0000002,Novelo Granja,2016-06-17 03:00,CA,1.34
0000002,Novelo Granja,2016-06-24 23:00,US,1.254
0000002,Novelo Granja,2016-07-14 21:00,US,1.365
0000003,Tiny City Motor Inn,2015-11-24 15:00,CA,1.303
0000003,Tiny City Motor Inn,2016-03-26 22:00,CA,1.788
0000003,Tiny City Motor Inn,2016-04-02 08:00,MX,1.716
0000003,Tiny City Motor Inn,2016-04-22 01:00,US,1.292
0000003,Tiny City Motor Inn,2016-07-29 18:00,MX,1.786
0000004,Novelo Sheraton la pensión,2015-10-05 07:00,US,1.482
0000004,Novelo Sheraton la pensión,2015-10-25 23:00,US,1.327
0000004,Novelo Sheraton la pensión,2015-11-06 11:00,CA,1.051
0000004,Novelo Sheraton la pensión,2015-11-12 11:00,US,1.583
0000004,Novelo Sheraton la pensión,2015-11-23 10:00,US,1.84
0000004,Novelo Sheraton la pensión,2016-01-12 19:00,US,1.391
0000004,Novelo Sheraton la pensión,2016-01-31 20:00,CA,1.551
0000004,Novelo Sheraton la pensión,2016-02-09 06:00,CA,1.26
0000004,Novelo Sheraton la pensión,2016-03-18 19:00,MX,0.998
0000004,Novelo Sheraton la pensión,2016-04-11 15:00,US,1.085
0000004,Novelo Sheraton la pensión,2016-04-25 08:00,US,1.538
0000004,Novelo Sheraton la pensión,2016-07-16 16:00,US,1.19
0000004,Novelo Sheraton la pensión,2016-07-23 21:00,CA,1.405
0000005,Elegance Tavern,2015-08-16 04:00,CA,1.622
0000005,Elegance Tavern,2015-09-16 14:00,US,1.124
0000005,Elegance Tavern,2015-09-16 20:00,CA,1.67
0000005,Elegance Tavern,2015-10-14 22:00,MX,1.382
0000005,Elegance Tavern,2015-11-11 00:00,MX,1.959
0000005,Elegance Tavern,2015-11-16 16:00,US,1.222
0000005,Elegance Tavern,2015-11-30 09:00,CA,1.927
0000005,Elegance Tavern,2015-12-08 17:00,CA,1.703
0000005,Elegance Tavern,2015-12-10 09:00,CA,1.332
0000005,Elegance Tavern,2016-02-02 06:00,CA,1.595
0000005,Elegance Tavern,2016-03-15 08:00,MX,1.158
0000005,Elegance Tavern,2016-03-20 22:00,US,1.831
0000005,Elegance Tavern,2016-04-09 22:00,MX,0.944
0000005,Elegance Tavern,2016-04-22 15:00,US,1.7
0000005,Elegance Tavern,2016-06-15 19:00,US,1.66
0000005,Elegance Tavern,2016-07-04 04:00,CA,1.467
0000005,Elegance Tavern,2016-07-05 23:00,US,1.522
0000006,Pestana Majestic Majestic Boarding House,2015-09-18 02:00,US,1.263
0000006,Pestana Majestic Majestic Boarding House,2015-11-25 03:00,US,0.893
0000006,Pestana Majestic Majestic Boarding House,2015-12-05 13:00,US,0.935
0000006,Pestana Majestic Majestic Boarding House,2016-02-25 11:00,CA,1.414
0000006,Pestana Majestic Majestic Boarding House,2016-03-04 02:00,US,0.94
0000006,Pestana Majestic Majestic Boarding House,2016-03-25 04:00,US,1.773
0000006,Pestana Majestic Majestic Boarding House,2016-05-04 01:00,MX,1.363
0000007,Merlin Geronimo Plaza,2015-09-03 05:00,CA,1.196
0000007,Merlin Geronimo Plaza,2015-09-07 03:00,CA,1.643
0000007,Merlin Geronimo Plaza,2015-10-26 04:00,CA,1.2
0000007,Merlin Geronimo Plaza,2016-02-12 22:00,MX,1.069
0000007,Merlin Geronimo Plaza,2016-02-13 17:00,MX,1.414
0000007,Merlin Geronimo Plaza,2016-02-14 02:00,US,1.798
0000007,Merlin Geronimo Plaza,2016-02-18 22:00,MX,1.844
0000007,Merlin Geronimo Plaza,2016-03-06 21:00,US,0.675
0000007,Merlin Geronimo Plaza,2016-03-15 08:00,US,1.477
0000007,Merlin Geronimo Plaza,2016-04-26 08:00,CA,0.819
0000007,Merlin Geronimo Plaza,2016-07-09 06:00,MX,1.321
0000007,Merlin Geronimo Plaza,2016-07-29 19:00,CA,1.815
0000008,Geronimo Premier la pensión,2015-08-09 05:00,US,1.474
0000008,Geronimo Premier la pensión,2015-08-25 23:00,MX,1.743
0000008,Geronimo Premier la pensión,2015-09-03 01:00,MX,0.827
0000008,Geronimo Premier la pensión,2015-09-24 23:00,CA,1.443
0000008,Geronimo Premier la pensión,2015-09-26 12:00,CA,1.615
0000008,Geronimo Premier la pensión,2015-09-29 08:00,US,0.847
0000008,Geronimo Premier la pensión,2015-10-14 21:00,CA,1.223
0000008,Geronimo Premier la pensión,2015-11-15 05:00,MX,0.908
0000008,Geronimo Premier la pensión,2015-11-27 20:00,CA,1.81
0000008,Geronimo Premier la pensión,2015-12-06 07:00,CA,1.835
0000008,Geronimo Premier la pensión,2015-12-26 19:00,MX,1.49
0000008,Geronimo Premier la pensión,2015-12-30 15:00,CA,1.462
0000008,Geronimo Premier la pensión,2016-02-01 03:00,CA,1.284
0000008,Geronimo Premier la pensión,2016-02-07 13:00,MX,0.912
0000008,Geronimo Premier la pensión,2016-03-08 01:00,MX,1.42
0000008,Geronimo Premier la pensión,2016-03-31 09:00,US,1.493
0000008,Geronimo Premier la pensión,2016-05-28 11:00,MX,1.183
0000009,Copacabana Elegance Casino,2015-08-28 21:00,MX,1.156
0000009,Copacabana Elegance Casino,2015-09-04 19:00,MX,0.367
0000009,Copacabana Elegance Casino,2015-10-14 22:00,MX,1.663
0000009,Copacabana Elegance Casino,2015-11-14 11:00,US,1.272
0000009,Copacabana Elegance Casino,2015-11-19 07:00,US,1.276
0000009,Copacabana Elegance Casino,2015-12-27 05:00,CA,1.586
0000009,Copacabana Elegance Casino,2016-04-30 00:00,MX,1.819
0000009,Copacabana Elegance Casino,2016-05-06 08:00,US,2.021
0000009,Copacabana Elegance Casino,2016-05-15 22:00,US,1.431
0000009,Copacabana Elegance Casino,2016-05-29 02:00,CA,1.658
0000009,Copacabana Elegance Casino,2016-07-05 03:00,CA,0.932
0000010,Premier Down Town Village Apartments,2015-08-08 11:00,US,1.058
0000010,Premier Down Town Village Apartments,2015-08-15 01:00,US,0.724
0000010,Premier Down Town Village Apartments,2015-09-21 22:00,CA,1.453
0000010,Premier Down Town Village Apartments,2015-09-23 15:00,US,1.154
0000010,Premier Down Town Village Apartments,2015-09-24 17:00,CA,1.618
0000010,Premier Down Town Village Apartments,2015-10-27 22:00,CA,1.669
0000010,Premier Down Town Village Apartments,2015-11-06 00:00,CA,0.958
0000010,Premier Down Town Village Apartments,2015-11-11 23:00,MX,1.683
0000010,Premier Down Town Village Apartments,2015-11-23 16:00,CA,0.531
0000010,Premier Down Town Village Apartments,2016-01-11 11:00,CA,1.569
0000010,Premier Down Town Village Apartments,2016-02-17 01:00,US,1.743
0000010,Premier Down Town Village Apartments,2016-02-17 01:00,CA,1.743
0000010,Premier Down Town Village Apartments,2016-03-11 23:00,US,1.176
0000010,Premier Down Town Village Apartments,2016-03-13 09:00,US,1.907
0000010,Premier Down Town Village Apartments,2016-03-23 05:00,US,1.361
0000010,Premier Down Town Village Apartments,2016-04-14 14:00,US,1.63
0000010,Premier Down Town Village Apartments,2016-07-12 08:00,MX,1.95
0000011,Senado Majestic Spa,2015-12-31 17:00,CA,1.268
0000011,Senado Majestic Spa,2016-01-22 22:00,CA,1.843
0000011,Senado Majestic Spa,2016-03-18 00:00,MX,1.01
0000011,Senado Majestic Spa,2016-05-11 00:00,MX,1.063
0000011,Senado Majestic Spa,2016-05-24 00:00,US,1.534
0000011,Senado Majestic Spa,2016-08-03 12:00,CA,1.886
0000012,Elegance Senado Granja,2015-09-22 10:00,CA,1.88
0000012,Elegance Senado Granja,2015-10-04 01:00,MX,1.781
0000012,Elegance Senado Granja,2015-10-12 00:00,CA,1.772
